Name,Qty owned,Total cost
100 || MITSUBISHI VFD || FR-D720S-0.4K,18,"1,88,259.12"
102 || MITSUBISHI VFD || FR-D720S-0.75K,19,"2,03,890.50"
103 || MITSUBISHI VFD || FR-D720S-1.5K,2,"24,161.55"
104 || MITSUBISHI VFD || FR-D720S-2.2K,16,"2,24,299.64"
105 || MITSUBISHI VFD || FR-D720-0.4K,12,"1,14,001.36"
111 || MITSUBISHI VFD || FR-E820-0.75K-1,12,"1,54,193.18"
115 || MITSUBISHI VFD || FR-E720-1.5K,5,"55,989.22"
119 || MITSUBISHI VFD || FR-D720-2.2K,7,"83,508.47"
121 || MITSUBISHI VFD || FR-E820-2.2K-1,24,"3,01,825.69"
124 || MITSUBISHI VFD || FR-D720-3.7K,4,"53,043.62"
126 || MITSUBISHI VFD || FR-E820-3.7K-1,8,"1,16,914.97"
128 || MITSUBISHI VFD || FR-A820-3.7K-1,6,"2,00,062.67"
401 || MITSUBISHI VFD || FR-D740-0.4K,5,"54,444.75"
405 || MITSUBISHI VFD || FR-D740-0.75K,3,"39,298.36"
407 || MITSUBISHI VFD || FR-E840-0.75K-1,17,"2,62,089.95"
410 || MITSUBISHI VFD || FR-D740-1.5K,16,"2,51,211.38"
412 || MITSUBISHI VFD || FR-E840-1.5K-1,3,"53,076.86"
415 || MITSUBISHI VFD || FR-D740-2.2K,11,"2,07,495.91"
416 || MITSUBISHI VFD || FR-E740-2.2K,0,0
417 || MITSUBISHI VFD || FR-E840-2.2K-1,30,"5,55,447.36"
419 || MITSUBISHI VFD || FR-A840-2.2K-1,5,"1,47,528.13"
420 || MITSUBISHI VFD || FR-D740-3.7K,12,"2,63,861.60"
421 || MITSUBISHI VFD || FR-E740-3.7K,0,0
422 || MITSUBISHI VFD || FR-E840-3.7K-1,18,"3,41,407.35"
423 || MITSUBISHI VFD || FR-F840-3.7K-1,0,0
424 || MITSUBISHI VFD || FR-A840-3.7K-1,6,"2,28,376.24"
427 || MITSUBISHI VFD || FR-E840-5.5K-1,16,"4,41,297.52"
429 || MITSUBISHI VFD || FR-A840-5.5K-1,8,"3,88,092.28"
430 || MITSUBISHI VFD || FR-D740-7.5K,39,"10,70,743.63"
432 || MITSUBISHI VFD || FR-E840-7.5K-1,45,"13,41,080.45"
434 || MITSUBISHI VFD || FR-A840-7.5K-1,4,"2,00,707.82"
437 || MITSUBISHI VFD || FR-E840-11K-1,22,"8,83,027.87"
439 || MITSUBISHI VFD || FR-A840-11K-1,6,"3,35,952.88"
441 || MITSUBISHI VFD || FR-E740-15K,3,"1,16,137.68"
442 || MITSUBISHI VFD || FR-E840-15K-1,9,"4,35,419.58"
444 || MITSUBISHI VFD || FR-A840-15K-1,22,"12,87,173.86"
444_01 || MITSUBISHI VFD || FR-A840-15K-1 || PEC,0,0
445 || MITSUBISHI VFD || FR-F840-18.5K-1,15,"7,84,976.37"
446_01 || MITSUBISHI VFD || FR-A840-18.5K-1 (PEC),2,"2,00,000.00"
447 || MITSUBISHI VFD || FR-F840-22K-1,4,"2,76,662.31"
448 || MITSUBISHI VFD || FR-A840-22K-1,72,"48,72,135.04"
449 || MITSUBISHI VFD || FR-F840-30K-1,18,"15,13,303.73"
450 || MITSUBISHI VFD || FR-A840-30K-1,22,"25,11,304.52"
451 || MITSUBISHI VFD || FR-F840-37K-1,2,"2,24,019.27"
452 || MITSUBISHI VFD || FR-A840-37K-1,5,"6,64,699.25"
453 || MITSUBISHI VFD || FR-F840-45K-1,1,"1,31,419.03"
454 || MITSUBISHI VFD || FR-A840-45K-1,1,"1,56,883.22"
455 || MITSUBISHI VFD || FR-F840-55K-1,3,"4,21,486.39"
456 || MITSUBISHI VFD || FR-A840-55K-1,19,"34,06,302.34"
457 || MITSUBISHI VFD || FR-F840-75K-1,3,"5,83,346.17"
458 || MITSUBISHI VFD || FR-A840-75K-1,2,"5,12,109.63"
458_01 || MITSUBISHI VFD || FR-HEL-H75K,5,"65,404.78"
460 || MITSUBISHI VFD || FR-A840-90K-1,9,"26,14,537.22"
460_01 || MITSUBISHI VFD || FR-HEL-H90K,9,"1,28,789.32"
461 || MITSUBISHI VFD || FR-F840-110K-1,7,"17,87,622.53"
462_01 || MITSUBISHI VFD || FR-HEL-H110K,7,"91,317.80"
463 || MITSUBISHI VFD || FR-F840-132K-1,2,"6,63,912.22"
463_01 || FR-HEL-H132K,2,"35,584.96"
465 || MITSUBISHI VFD || FR-F840-160K-1,3,"11,62,014.48"
465_01 || FR-HEL-H160K,3,"60,250.39"
468 || MITSUBISHI VFD || FR-A840-185K-1,2,"14,40,107.56"
468_01 || FR-HEL-H185K,2,"73,685.02"
469 || MITSUBISHI VFD || FR-F840-220K-1,0,0
469_01 || FR-HEL-H220K,1,"32,123.58"
470 || MITSUBISHI VFD || FR-A840-220K-1,1,"8,62,406.06"
472 || MITSUBISHI VFD || FR-A840-250K-1,1,"9,02,386.23"
472_01 || FR-HEL-H250K,1,"39,855.65"
473 || MITSUBISHI VFD || FR-F840-280K-1,2,"15,50,099.70"
474 || MITSUBISHI VFD || FR-A840-280K-1,1,"9,45,367.08"
474_01 || FR-HEL-H280K,3,"1,22,368.43"
MITSUBISHI VFD || FR-S520SE-0.2K-19,1,"23,123.01"
